"","NSEBANK.Adjusted"
"958",10939
"959",10743.299805
"960",10639.549805
"961",10537.049805
"962",10354.5
"963",10232.299805
"964",10196.549805
"965",10463.200195
"966",10338.799805
"967",10182.700195
"968",10056.400391
"969",9953.200195
"970",9601.5
"971",9404.849609
"972",9407.349609
"973",9488.700195
"974",9331.849609
"975",9177.25
"976",8974.549805
"977",9342.450195
"978",9533.400391
"979",9581.349609
"980",9614.049805
"981",9657.599609
"982",9858.900391
"983",9920.049805
"984",9678.700195
"985",9395.25
"986",9339.700195
"987",9472.450195
"988",9660.349609
"989",9720.25
"990",9583.549805
"991",9812.700195
"992",9929
"993",9520.599609
"994",9375.700195
"995",9384.5
"996",9619.950195
"997",9512.150391
"998",9653.400391
"999",9468.299805
"1000",9185.900391
"1001",8913.349609
"1002",8701.299805
"1003",9038.25
"1004",9168.900391
"1005",9178.650391
"1006",9482.299805
"1007",9591.25
"1008",9660.400391
"1009",9721.299805
"1010",9583.900391
"1011",9841.349609
"1012",9746.400391
"1013",9695.349609
"1014",9647.849609
"1015",9511.599609
"1016",9917.049805
"1017",9989.650391
"1018",9822.25
"1019",9781.049805
"1020",9782.5
"1021",9836.349609
"1022",9852.549805
"1023",9592.650391
"1024",9292.549805
"1025",9275
"1026",9085.700195
"1027",9061.549805
"1028",8930.900391
"1029",8850.25
"1030",8554.150391
"1031",8611.700195
"1032",8399.299805
"1033",NA
"1034",8488.599609
"1035",8793.150391
"1036",8623.900391
"1037",8564.099609
"1038",8895.299805
"1039",9172.75
"1040",9173.75
"1041",9176.25
"1042",8915.700195
"1043",8811.099609
"1044",8543.400391
"1045",8571.950195
"1046",8533
"1047",8445.099609
"1048",8171.899902
"1049",7920.75
"1050",7798.549805
"1051",8189.149902
"1052",8384.650391
"1053",8296.450195
"1054",NA
"1055",8275.5
"1056",8111.399902
"1057",8027.399902
"1058",7968.649902
"1059",NA
"1060",8340.299805
"1061",8408.400391
"1062",8454.900391
"1063",8488.25
"1064",NA
"1065",8481.349609
"1066",8735.049805
"1067",8839.700195
"1068",8930.25
"1069",8975.049805
"1070",8940.25
"1071",9056.700195
"1072",9023.400391
"1073",9199.400391
"1074",9516.849609
"1075",9520.299805
"1076",9834
"1077",9856.599609
"1078",9813.650391
"1079",9537.099609
"1080",9919.450195
"1081",9949.099609
"1082",9992.049805
"1083",10133.650391
"1084",10269.25
"1085",10324.599609
"1086",10320.099609
"1087",10507.599609
"1088",10442.650391
"1089",10473.599609
"1090",10556.650391
"1091",10930.700195
"1092",10921.900391
"1093",11074.900391
"1094",11170.400391
"1095",10747.150391
"1096",10713.349609
"1097",10506.799805
"1098",10103.950195
"1099",10484
"1100",10414.200195
"1101",10288.900391
"1102",10434.299805
"1103",NA
"1104",10178.849609
"1105",10058.150391
"1106",10132.849609
"1107",10505.650391
"1108",10625.650391
"1109",10686.200195
"1110",10889.700195
"1111",10595
"1112",10391.349609
"1113",10188.849609
"1114",10281.599609
"1115",10524.450195
"1116",10173.549805
"1117",10294.549805
"1118",10043.5
"1119",10148.849609
"1120",9960.400391
"1121",9927.650391
"1122",10212.75
"1123",10305.349609
"1124",10432.599609
"1125",10340.099609
"1126",10131.599609
"1127",10196.049805
"1128",10214.25
"1129",10400.700195
"1130",10306.25
"1131",10432.700195
"1132",10519.549805
"1133",10512.450195
"1134",10567.900391
"1135",10456.5
"1136",10243.150391
"1137",10215.150391
"1138",10159.849609
"1139",10128
"1140",10148.700195
"1141",10276.799805
"1142",10306.599609
"1143",10126.549805
"1144",9802.349609
"1145",9876.349609
"1146",9588.75
"1147",9404.799805
"1148",9410.900391
"1149",9398.099609
"1150",9257.650391
"1151",9319.700195
"1152",9164.25
"1153",9154.200195
"1154",9310.25
"1155",NA
"1156",9268.799805
"1157",9209.900391
"1158",9437.599609
"1159",9456.299805
"1160",9698.299805
"1161",9708.099609
"1162",9534.049805
"1163",9441
"1164",9267.599609
"1165",9362.299805
"1166",9460.150391
"1167",9742.799805
"1168",9950.900391
"1169",9998.849609
"1170",9969.200195
"1171",10139.200195
"1172",10128.150391
"1173",9836.950195
"1174",10064.799805
"1175",9749.900391
"1176",9786.450195
"1177",9831.799805
"1178",10033.650391
"1179",10038.349609
"1180",9925.75
"1181",9970.099609
"1182",10017.799805
"1183",10003.849609
"1184",10340.650391
"1185",10412.200195
"1186",10481.299805
"1187",10529.450195
"1188",10641.900391
"1189",10655.349609
"1190",10588.049805
"1191",10751.549805
"1192",10713.299805
"1193",10616.299805
"1194",10594.450195
"1195",10568.200195
"1196",10558.049805
"1197",10607.099609
"1198",10622.049805
"1199",10481.599609
"1200",10274.599609
"1201",10299
"1202",10267.849609
"1203",10083.799805
"1204",10140.549805
"1205",10412.150391
"1206",10384.099609
"1207",10419.900391
"1208",10379.599609
"1209",10315.599609
"1210",10462.400391
"1211",10591.950195
"1212",10529.25
"1213",10445.900391
"1214",10358.950195
"1215",10401.299805
"1216",10519.150391
"1217",10426.75
"1218",10417.900391
"1219",10469.5
"1220",10472.200195
"1221",10457.700195
"1222",10332.849609
"1223",10150.400391
"1224",NA
"1225",10011.900391
"1226",10085.200195
"1227",9990.5
"1228",9963
"1229",10020.650391
"1230",9827.900391
"1231",9893.150391
"1232",10122
"1233",NA
"1234",10069.849609
"1235",10135.900391
"1236",10183.450195
"1237",10207.799805
"1238",10642.900391
"1239",10981.650391
"1240",11043.5
"1241",10920.799805
"1242",11358.5
"1243",11423.5
"1244",11420.75
"1245",11427.25
"1246",11419.450195
"1247",11456.799805
"1248",11420.450195
"1249",11414.950195
"1250",11636.049805
"1251",11511.400391
"1252",11362.200195
"1253",11446.099609
"1254",11291.5
"1255",11431.299805
"1256",11388.450195
"1257",11441.799805
"1258",11348
"1259",11358.25
"1260",11586.349609
"1261",11491.200195
"1262",11607.400391
"1263",11578.150391
"1264",11614.5
"1265",11472.150391
"1266",11203
"1267",11268.799805
"1268",11315.049805
"1269",11460.450195
"1270",11475.150391
"1271",11539.049805
"1272",11665.5
"1273",11613.549805
"1274",11475.599609
"1275",NA
"1276",11583.849609
"1277",11521.400391
"1278",11335.5
"1279",11306.950195
"1280",11318.299805
"1281",11465.349609
"1282",11508.349609
"1283",11475.799805
"1284",11432.450195
"1285",11657.400391
"1286",11992.799805
"1287",12158.900391
"1288",12103.900391
"1289",12197.150391
"1290",12281.599609
"1291",12427.549805
"1292",12363.700195
"1293",12381.650391
"1294",12344.599609
"1295",12301.700195
"1296",12269.150391
"1297",12424.700195
"1298",12427.450195
"1299",12477.150391
"1300",12510.25
"1301",12486.5
"1302",12315.049805
"1303",12317.700195
"1304",12479.450195
"1305",12459.700195
"1306",12458.150391
"1307",12474.25
"1308",NA
"1309",12786.849609
"1310",12778.150391
"1311",12787.349609
"1312",12708.700195
"1313",12725.5
"1314",12718
"1315",12802.25
"1316",12617.849609
"1317",12758.75
"1318",12855.400391
"1319",12638.5
"1320",12649.599609
"1321",12680
"1322",12651.349609
"1323",12574.349609
"1324",12635.200195
"1325",12561.400391
"1326",12693.25
"1327",12781.349609
"1328",12722.799805
"1329",12767.5
"1330",12708.599609
"1331",12606.25
"1332",12548.349609
"1333",12467.75
"1334",12417.700195
"1335",12349.299805
"1336",12280.150391
"1337",12333
"1338",12405.25
"1339",12385.099609
"1340",12311.299805
"1341",12336.549805
"1342",12347.200195
"1343",12413.650391
"1344",12363.700195
"1345",12055.5
"1346",12068.950195
"1347",12037.299805
"1348",11844.849609
"1349",11930.5
"1350",11487.349609
"1351",11540.049805
"1352",11575.599609
"1353",11792.049805
"1354",11876.200195
"1355",11970.25
"1356",12197.25
"1357",12165.400391
"1358",12054.5
"1359",11777.5
"1360",12020.75
"1361",11816.549805
"1362",11735.5
"1363",11508.049805
"1364",11254.849609
"1365",11238.349609
"1366",11204.049805
"1367",11125.650391
"1368",11163.450195
"1369",11361.849609
"1370",11425.549805
"1371",11523.400391
"1372",11344.099609
"1373",11126.25
"1374",11098.950195
"1375",11012.650391
"1376",10929.150391
"1377",11122.25
"1378",11306.5
"1379",11410.099609
"1380",11526.25
"1381",11871.599609
"1382",11981.049805
"1383",12288.25
"1384",12576.200195
"1385",12543.400391
"1386",12726.849609
"1387",12533.150391
"1388",12609.150391
"1389",12561.549805
"1390",12709.950195
"1391",12393.599609
"1392",12396.400391
"1393",12631.5
"1394",12643.049805
"1395",12596.299805
"1396",12752.299805
"1397",12568.849609
"1398",12583.599609
"1399",13077.900391
"1400",13239.450195
"1401",13317.099609
"1402",13181.5
"1403",13066.5
"1404",13008.25
"1405",12636.5
"1406",12769.349609
"1407",12961.549805
"1408",12950
"1409",12853.200195
"1410",12805.900391
"1411",12475.650391
"1412",12402.099609
"1413",12275.099609
"1414",12289.349609
"1415",12398.400391
"1416",12231.5
"1417",12087.049805
"1418",11820.5
"1419",11814.849609
"1420",11686.75
"1421",11922.849609
"1422",11971.049805
"1423",11820.950195
"1424",11852.650391
"1425",11375.400391
"1426",11340.150391
"1427",11178.299805
"1428",11181.049805
"1429",11066.549805
"1430",11235.75
"1431",11617.25
"1432",11714.900391
"1433",11614.25
"1434",11357.799805
"1435",11381.200195
"1436",11434.299805
"1437",11283.299805
"1438",11442.450195
"1439",11364.450195
"1440",11655.299805
"1441",11722.799805
"1442",11790.25
"1443",11226.150391
"1444",10971.599609
"1445",11187.700195
"1446",10973.900391
"1447",11086.950195
"1448",11239.700195
"1449",10720.150391
"1450",10614
"1451",10465.25
"1452",10331
"1453",10209.549805
"1454",10015.75
"1455",10142.950195
"1456",9997.799805
"1457",10094.900391
"1458",9703.099609
"1459",9757.25
"1460",9816.400391
"1461",9711.400391
"1462",9985.650391
"1463",10026.400391
"1464",9450.849609
"1465",9145
"1466",9218.950195
"1467",9264.400391
"1468",9268.900391
"1469",9470.099609
"1470",9373.549805
"1471",8870.5
"1472",8760.849609
"1473",8904.599609
"1474",9049.200195
"1475",9139.5
"1476",8664.200195
"1477",8845.75
"1478",9682.400391
"1479",9961.400391
"1480",10188.25
"1481",10369.099609
"1482",10158.549805
