Date	Price	Open	High	Low	Change
29-Apr-18	183.83	162.13	184.25	161.84	13.25
06-May-18	188.59	185.18	190.37	183.66	2.59
13-May-18	186.31	189.01	189.53	185.1	-1.21
20-May-18	188.58	188	189.65	185.76	1.22
27-May-18	190.24	187.6	190.26	186.14	0.88
03-Jun-18	191.7	191.63	194.2	189.77	0.77
10-Jun-18	188.84	191.35	192.88	188.26	-1.49
17-Jun-18	184.92	187.88	189.22	183.45	-2.08
24-Jun-18	185.11	183.4	187.28	180.73	0.1
01-Jul-18	187.97	183.82	188.43	183.42	1.55
08-Jul-18	191.33	189.5	191.84	187.61	1.79
15-Jul-18	191.44	191.52	192.65	189.2	0.06
22-Jul-18	190.98	190.68	195.96	189.56	-0.24
29-Jul-18	207.99	191.9	208.74	189.07	8.91
05-Aug-18	207.53	208	209.78	204.52	-0.22
12-Aug-18	217.58	207.7	217.95	207.7	4.84
19-Aug-18	216.16	218.1	219.18	213.84	-0.65
26-Aug-18	227.63	217.15	228.87	216.33	5.31
02-Sep-18	221.3	228.41	229.67	220.71	-2.78
09-Sep-18	223.84	220.95	228.35	216.47	1.15
16-Sep-18	217.66	222.15	222.95	215.3	-2.76
23-Sep-18	225.74	216.82	226.44	216.63	3.71
30-Sep-18	224.29	227.95	233.47	220.58	-0.64
07-Oct-18	222.11	222.21	227.27	212.32	-0.97
14-Oct-18	219.31	221.16	222.99	213	-1.26
21-Oct-18	216.3	219.79	224.23	212.67	-1.37
28-Oct-18	207.48	219.19	222.36	205.43	-4.08
04-Nov-18	204.47	204.3	210.12	198.17	-1.45
11-Nov-18	193.53	199	199.85	185.93	-5.35
18-Nov-18	172.29	190	190.7	172.1	-10.98
25-Nov-18	178.58	174.24	182.8	170.26	3.65
02-Dec-18	168.49	184.46	184.94	168.3	-5.65
09-Dec-18	165.48	165	172.57	163.33	-1.79
16-Dec-18	150.73	165.45	168.35	149.63	-8.91
23-Dec-18	156.23	148.15	158.52	146.59	3.65
30-Dec-18	148.26	158.53	159.36	142	-5.1
06-Jan-19	152.29	148.7	154.53	145.9	2.72
13-Jan-19	156.82	150.85	157.88	149.22	2.97
20-Jan-19	157.76	156.41	158.13	151.7	0.6
27-Jan-19	166.52	155.79	169	153.66	5.55
03-Feb-19	170.41	167.41	175.57	167.28	2.34
10-Feb-19	170.42	171.05	172.48	169.25	0.01
17-Feb-19	172.97	169.71	173.32	169.49	1.5
24-Feb-19	172.97	172.97	172.97	172.97	0
