time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
217,82.75,82.65,83.47,81.8,310.38K,0.0011,0.108879748,0.11,0.001088205,0,-0.02
218,82.52,82.88,83.95,81.96,296.30K,-0.0028,-0.277945619,-0.28,-0.002783326,0,-0.01
219,80.79,82.07,82.34,79.91,333.87K,-0.021,-2.096461464,-2.1,-0.021187493,-0.02,0
220,79.65,80.06,80.67,78.37,401.63K,-0.0141,-1.411065726,-1.41,-0.014211159,-0.01,-0.03
221,79.39,79.63,80.36,78.92,275.40K,-0.0033,-0.326428123,-0.33,-0.003269621,0,0
222,78,79.2,79.31,77.7,200.56K,-0.0175,-1.750850233,-1.75,-0.017663589,-0.02,0
223,79.02,77.85,79.15,76.76,186.88K,0.0131,1.307692308,1.31,0.012992158,0.01,0
224,77.62,78.88,79.03,76.96,40.68K,-0.0177,-1.771703366,-1.77,-0.017875859,-0.02,-0.01
225,76.08,77.56,78.36,75.66,327.42K,-0.0198,-1.984024736,-1.98,-0.020039708,-0.02,0.02
226,74.54,75.84,76.5,74.01,348.82K,-0.0202,-2.024185068,-2.02,-0.020449524,-0.02,-0.02
227,75.26,74.24,75.42,74.06,280.56K,0.0097,0.965924336,0.97,0.009612891,0.01,-0.03
228,74.71,75.28,75.39,73.82,256.21K,-0.0073,-0.730799894,-0.73,-0.007334833,-0.01,0.01
229,73.67,74.69,75.09,72.65,356.18K,-0.0139,-1.392049257,-1.39,-0.014018291,-0.01,0
230,73.64,73.75,74.49,72.93,292.91K,-0.0004,-0.040722139,-0.04,-0.000407304,0,0.01
231,72.89,73.89,74.82,72.43,335.27K,-0.0102,-1.018468224,-1.02,-0.010236901,-0.01,-0.01
232,74.43,72.84,74.99,72.49,277.41K,0.0211,2.112772671,2.11,0.020907631,0.02,0.01
233,77.23,74.94,77.41,74.4,366.27K,0.0376,3.761923955,3.76,0.036928896,0.04,-0.01
234,76.98,76.99,78.04,76.52,391.29K,-0.0032,-0.323708403,-0.32,-0.003242335,0,0.01
235,73.14,77.09,77.17,72.42,523.89K,-0.0499,-4.988308652,-4.99,-0.051170235,-0.05,0.01
236,71.19,73.04,73.94,69.5,596.14K,-0.0267,-2.66611977,-2.67,-0.027023054,-0.03,-0.01
237,71.89,72.18,72.39,70.77,345.64K,0.0098,0.983284169,0.98,0.009784814,0.01,-0.01
238,73.75,71.68,74.15,71.32,429.85K,0.0259,2.587286132,2.59,0.025543822,0.03,0
